,year,Region,population,mortality_rate_100k,rGDP,proportion_under15,proportion_over60,life_expectancy,infant_death_rate_per100k,maternal_death_rate_per100k,population_density,WHO_PD,PD
49,2017,I - Ilocos,5128542,671.2824034589167,527801491.3,29.77462210507391,10.1587351726865,73.1561305214704,1422.8100498484507,81.41078630294832,395.0,10,13.617257269699175
50,2018,I - Ilocos,5178410,687.9911015157162,587597250.7,29.58769197494984,10.33095100619688,73.37631469677203,1577.3937242356858,74.12320056177585,399.0,10,13.850084209409692
51,2019,I - Ilocos,5225800,677.3699720616938,630300658.4,29.40035975353056,10.50296605304451,73.59649887207365,1522.208188611725,65.78254920534681,403.0,10,14.085271059687571
52,2020,I - Ilocos,5270807,661.1511292293571,597981618.1,29.212243969471842,10.6753292237792,73.81668304737528,1396.2643556084229,100.54236232068766,406.0,10,14.323197126077602
53,2021,I - Ilocos,5365538,680.0,617236626.2028201,29.02419115478495,10.847050839010521,74.01668304737527,1456.9183028191858,78.1398292944221,413.0,10,14.55781708835194
54,2022,I - Ilocos,5428002,680.0,656122533.6535977,28.835922250477708,11.018693891565299,74.21668304737528,1456.9183028191858,78.1398292944221,418.0,10,14.794555834618215
55,2023,I - Ilocos,5488451,680.0,701788661.9958881,28.64739460617037,11.19019576233817,74.41668304737527,1456.9183028191858,78.1398292944221,423.0,10,15.033460826947385
56,2024,I - Ilocos,5546804,680.0,749089217.8144109,28.458000820553497,11.362067205027419,74.61668304737526,1456.9183028191858,78.1398292944221,427.0,10,15.275145932550949
57,2025,I - Ilocos,5603519,680.0,797480381.2852218,28.268911516778022,11.5335788538901,74.81668304737528,1456.9183028191858,78.1398292944221,432.0,10,15.518451236767405
58,2026,I - Ilocos,5660792,680.0,849077361.9543756,27.79924749733848,11.851765593994159,74.99686722267688,1456.9183028191858,78.1398292944221,436.0,10,16.044749693223636
59,2027,I - Ilocos,5718624,680.0,904267390.48141,27.345046343845357,12.15947659249461,75.17705139797852,1456.9183028191858,78.1398292944221,441.0,10,16.563710079695085
60,2028,I - Ilocos,5777007,680.0,963044770.8627017,26.90555679163305,12.45722081419398,75.35723557328015,1456.9183028191858,78.1398292944221,445.0,10,17.075363947805805
