,year,Region,Age,population
2,2012,REGION IV-A (CALABARZON),10-14,1368264.4
2,2012,REGION IV-A (CALABARZON),15-19,1323523.6
2,2012,REGION IV-A (CALABARZON),20-24,1244645.6
2,2012,REGION IV-A (CALABARZON),25-29,1150430.4
2,2012,REGION IV-A (CALABARZON),30-34,1066355.2
2,2012,REGION IV-A (CALABARZON),35-39,953972.8
2,2012,REGION IV-A (CALABARZON),40-44,829170.4
2,2012,REGION IV-A (CALABARZON),45-49,708948.0
2,2012,REGION IV-A (CALABARZON),5-9,1399342.8
2,2012,REGION IV-A (CALABARZON),50-54,583778.8
2,2012,REGION IV-A (CALABARZON),55-59,454865.2
2,2012,REGION IV-A (CALABARZON),60-64,336686.0
2,2012,REGION IV-A (CALABARZON),65-69,215847.2
2,2012,REGION IV-A (CALABARZON),70-74,143074.0
2,2012,REGION IV-A (CALABARZON),75-79,92482.4
2,2012,REGION IV-A (CALABARZON),80 and over,82905.6
3,2013,REGION IV-A (CALABARZON),0-4,1457829.0
3,2013,REGION IV-A (CALABARZON),10-14,1383346.6
3,2013,REGION IV-A (CALABARZON),15-19,1354835.4
3,2013,REGION IV-A (CALABARZON),20-24,1289918.4
3,2013,REGION IV-A (CALABARZON),25-29,1182295.6
3,2013,REGION IV-A (CALABARZON),30-34,1089632.8
3,2013,REGION IV-A (CALABARZON),35-39,989159.2
3,2013,REGION IV-A (CALABARZON),40-44,847055.6
3,2013,REGION IV-A (CALABARZON),45-49,734372.0
3,2013,REGION IV-A (CALABARZON),5-9,1415364.2
3,2013,REGION IV-A (CALABARZON),50-54,601968.2
3,2013,REGION IV-A (CALABARZON),55-59,475597.8
3,2013,REGION IV-A (CALABARZON),60-64,356029.0
3,2013,REGION IV-A (CALABARZON),65-69,231120.8
3,2013,REGION IV-A (CALABARZON),70-74,146211.0
3,2013,REGION IV-A (CALABARZON),75-79,96523.6
3,2013,REGION IV-A (CALABARZON),80 and over,85858.4
4,2014,REGION IV-A (CALABARZON),0-4,1457872.0
4,2014,REGION IV-A (CALABARZON),10-14,1398428.8
4,2014,REGION IV-A (CALABARZON),15-19,1386147.2
4,2014,REGION IV-A (CALABARZON),20-24,1335191.2
4,2014,REGION IV-A (CALABARZON),25-29,1214160.8
4,2014,REGION IV-A (CALABARZON),30-34,1112910.4
4,2014,REGION IV-A (CALABARZON),35-39,1024345.6
4,2014,REGION IV-A (CALABARZON),40-44,864940.8
4,2014,REGION IV-A (CALABARZON),45-49,759796.0
4,2014,REGION IV-A (CALABARZON),5-9,1431385.6
4,2014,REGION IV-A (CALABARZON),50-54,620157.6
4,2014,REGION IV-A (CALABARZON),55-59,496330.4
4,2014,REGION IV-A (CALABARZON),60-64,375372.0
4,2014,REGION IV-A (CALABARZON),65-69,246394.4
4,2014,REGION IV-A (CALABARZON),70-74,149348.0
4,2014,REGION IV-A (CALABARZON),75-79,100564.8
4,2014,REGION IV-A (CALABARZON),80 and over,88811.2
5,2015,REGION IV-A (CALABARZON),0-4,1457915.0
5,2015,REGION IV-A (CALABARZON),10-14,1413511.0
5,2015,REGION IV-A (CALABARZON),15-19,1417459.0
5,2015,REGION IV-A (CALABARZON),20-24,1380464.0
5,2015,REGION IV-A (CALABARZON),25-29,1246026.0
5,2015,REGION IV-A (CALABARZON),30-34,1136188.0
5,2015,REGION IV-A (CALABARZON),35-39,1059532.0
5,2015,REGION IV-A (CALABARZON),40-44,882826.0
5,2015,REGION IV-A (CALABARZON),45-49,785220.0
5,2015,REGION IV-A (CALABARZON),5-9,1447407.0
5,2015,REGION IV-A (CALABARZON),50-54,638347.0
5,2015,REGION IV-A (CALABARZON),55-59,517063.0
5,2015,REGION IV-A (CALABARZON),60-64,394715.0
5,2015,REGION IV-A (CALABARZON),65-69,261668.0
5,2015,REGION IV-A (CALABARZON),70-74,152485.0
5,2015,REGION IV-A (CALABARZON),75-79,104606.0
5,2015,REGION IV-A (CALABARZON),80 and over,91764.0
6,2016,REGION IV-A (CALABARZON),0-4,1474935.0
6,2016,REGION IV-A (CALABARZON),10-14,1437402.0
6,2016,REGION IV-A (CALABARZON),15-19,1439527.0
6,2016,REGION IV-A (CALABARZON),20-24,1398703.0
6,2016,REGION IV-A (CALABARZON),25-29,1272885.0
6,2016,REGION IV-A (CALABARZON),30-34,1163894.0
6,2016,REGION IV-A (CALABARZON),35-39,1081920.0
6,2016,REGION IV-A (CALABARZON),40-44,911473.0
6,2016,REGION IV-A (CALABARZON),45-49,813561.0
6,2016,REGION IV-A (CALABARZON),5-9,1468150.0
6,2016,REGION IV-A (CALABARZON),50-54,664343.0
6,2016,REGION IV-A (CALABARZON),55-59,542383.0
6,2016,REGION IV-A (CALABARZON),60-64,415581.0
6,2016,REGION IV-A (CALABARZON),65-69,280617.0
6,2016,REGION IV-A (CALABARZON),70-74,166712.0
6,2016,REGION IV-A (CALABARZON),75-79,112043.0
6,2016,REGION IV-A (CALABARZON),80 and over,97557.0
7,2017,REGION IV-A (CALABARZON),0-4,1490012.0
7,2017,REGION IV-A (CALABARZON),10-14,1459705.0
7,2017,REGION IV-A (CALABARZON),15-19,1459934.0
7,2017,REGION IV-A (CALABARZON),20-24,1415230.0
7,2017,REGION IV-A (CALABARZON),25-29,1298683.0
7,2017,REGION IV-A (CALABARZON),30-34,1190799.0
7,2017,REGION IV-A (CALABARZON),35-39,1103395.0
7,2017,REGION IV-A (CALABARZON),40-44,939751.0
7,2017,REGION IV-A (CALABARZON),45-49,841681.0
7,2017,REGION IV-A (CALABARZON),5-9,1487118.0
7,2017,REGION IV-A (CALABARZON),50-54,690283.0
7,2017,REGION IV-A (CALABARZON),55-59,567841.0
7,2017,REGION IV-A (CALABARZON),60-64,436625.0
7,2017,REGION IV-A (CALABARZON),65-69,299912.0
7,2017,REGION IV-A (CALABARZON),70-74,181274.0
7,2017,REGION IV-A (CALABARZON),75-79,119609.0
7,2017,REGION IV-A (CALABARZON),80 and over,103433.0
8,2018,REGION IV-A (CALABARZON),0-4,1503228.0
8,2018,REGION IV-A (CALABARZON),10-14,1480507.0
8,2018,REGION IV-A (CALABARZON),15-19,1478774.0
8,2018,REGION IV-A (CALABARZON),20-24,1430124.0
8,2018,REGION IV-A (CALABARZON),25-29,1323494.0
8,2018,REGION IV-A (CALABARZON),30-34,1216978.0
8,2018,REGION IV-A (CALABARZON),35-39,1124032.0
8,2018,REGION IV-A (CALABARZON),40-44,967736.0
8,2018,REGION IV-A (CALABARZON),45-49,869639.0
8,2018,REGION IV-A (CALABARZON),5-9,1504397.0
8,2018,REGION IV-A (CALABARZON),50-54,716214.0
8,2018,REGION IV-A (CALABARZON),55-59,593474.0
8,2018,REGION IV-A (CALABARZON),60-64,457880.0
8,2018,REGION IV-A (CALABARZON),65-69,319572.0
8,2018,REGION IV-A (CALABARZON),70-74,196189.0
8,2018,REGION IV-A (CALABARZON),75-79,127311.0
8,2018,REGION IV-A (CALABARZON),80 and over,109395.0
9,2019,REGION IV-A (CALABARZON),0-4,1514622.0
9,2019,REGION IV-A (CALABARZON),10-14,1499839.0
9,2019,REGION IV-A (CALABARZON),15-19,1496066.0
9,2019,REGION IV-A (CALABARZON),20-24,1443412.0
9,2019,REGION IV-A (CALABARZON),25-29,1347320.0
9,2019,REGION IV-A (CALABARZON),30-34,1242424.0
9,2019,REGION IV-A (CALABARZON),35-39,1143839.0
9,2019,REGION IV-A (CALABARZON),40-44,995410.0
9,2019,REGION IV-A (CALABARZON),45-49,897420.0
9,2019,REGION IV-A (CALABARZON),5-9,1520018.0
9,2019,REGION IV-A (CALABARZON),50-54,742115.0
9,2019,REGION IV-A (CALABARZON),55-59,619265.0
9,2019,REGION IV-A (CALABARZON),60-64,479329.0
9,2019,REGION IV-A (CALABARZON),65-69,339579.0
9,2019,REGION IV-A (CALABARZON),70-74,211434.0
9,2019,REGION IV-A (CALABARZON),75-79,135141.0
9,2019,REGION IV-A (CALABARZON),80 and over,115440.0
10,2020,REGION IV-A (CALABARZON),0-4,1524249.0
10,2020,REGION IV-A (CALABARZON),10-14,1517767.0
10,2020,REGION IV-A (CALABARZON),15-19,1511882.0
10,2020,REGION IV-A (CALABARZON),20-24,1455147.0
10,2020,REGION IV-A (CALABARZON),25-29,1370222.0
10,2020,REGION IV-A (CALABARZON),30-34,1267201.0
10,2020,REGION IV-A (CALABARZON),35-39,1162873.0
10,2020,REGION IV-A (CALABARZON),40-44,1022840.0
10,2020,REGION IV-A (CALABARZON),45-49,925085.0
10,2020,REGION IV-A (CALABARZON),5-9,1534050.0
10,2020,REGION IV-A (CALABARZON),50-54,768040.0
10,2020,REGION IV-A (CALABARZON),55-59,645256.0
10,2020,REGION IV-A (CALABARZON),60-64,501006.0
10,2020,REGION IV-A (CALABARZON),65-69,359961.0
10,2020,REGION IV-A (CALABARZON),70-74,227033.0
10,2020,REGION IV-A (CALABARZON),75-79,143111.0
10,2020,REGION IV-A (CALABARZON),80 and over,121576.0
11,2021,REGION IV-A (CALABARZON),0-4,1532096.0
11,2021,REGION IV-A (CALABARZON),10-14,1534221.0
11,2021,REGION IV-A (CALABARZON),15-19,1526161.0
11,2021,REGION IV-A (CALABARZON),20-24,1465293.0
11,2021,REGION IV-A (CALABARZON),25-29,1392081.0
11,2021,REGION IV-A (CALABARZON),30-34,1291167.0
11,2021,REGION IV-A (CALABARZON),35-39,1181041.0
11,2021,REGION IV-A (CALABARZON),40-44,1049867.0
11,2021,REGION IV-A (CALABARZON),45-49,952466.0
11,2021,REGION IV-A (CALABARZON),5-9,1546449.0
11,2021,REGION IV-A (CALABARZON),50-54,793819.0
11,2021,REGION IV-A (CALABARZON),55-59,671277.0
11,2021,REGION IV-A (CALABARZON),60-64,522770.0
11,2021,REGION IV-A (CALABARZON),65-69,380584.0
11,2021,REGION IV-A (CALABARZON),70-74,242880.0
11,2021,REGION IV-A (CALABARZON),75-79,151171.0
11,2021,REGION IV-A (CALABARZON),80 and over,127764.0
12,2022,REGION IV-A (CALABARZON),0-4,1538225.0
12,2022,REGION IV-A (CALABARZON),10-14,1549276.0
12,2022,REGION IV-A (CALABARZON),15-19,1538979.0
12,2022,REGION IV-A (CALABARZON),20-24,1473910.0
12,2022,REGION IV-A (CALABARZON),25-29,1412954.0
12,2022,REGION IV-A (CALABARZON),30-34,1314386.0
12,2022,REGION IV-A (CALABARZON),35-39,1198406.0
12,2022,REGION IV-A (CALABARZON),40-44,1076556.0
12,2022,REGION IV-A (CALABARZON),45-49,979623.0
12,2022,REGION IV-A (CALABARZON),5-9,1557287.0
12,2022,REGION IV-A (CALABARZON),50-54,819512.0
12,2022,REGION IV-A (CALABARZON),55-59,697383.0
12,2022,REGION IV-A (CALABARZON),60-64,544658.0
12,2022,REGION IV-A (CALABARZON),65-69,401482.0
12,2022,REGION IV-A (CALABARZON),70-74,258997.0
12,2022,REGION IV-A (CALABARZON),75-79,159328.0
12,2022,REGION IV-A (CALABARZON),80 and over,134013.0
13,2023,REGION IV-A (CALABARZON),0-4,1542673.0
13,2023,REGION IV-A (CALABARZON),10-14,1562957.0
13,2023,REGION IV-A (CALABARZON),15-19,1550354.0
13,2023,REGION IV-A (CALABARZON),20-24,1481023.0
13,2023,REGION IV-A (CALABARZON),25-29,1432851.0
13,2023,REGION IV-A (CALABARZON),30-34,1336854.0
13,2023,REGION IV-A (CALABARZON),35-39,1214975.0
13,2023,REGION IV-A (CALABARZON),40-44,1102904.0
13,2023,REGION IV-A (CALABARZON),45-49,1006540.0
13,2023,REGION IV-A (CALABARZON),5-9,1566592.0
13,2023,REGION IV-A (CALABARZON),50-54,845092.0
13,2023,REGION IV-A (CALABARZON),55-59,723541.0
13,2023,REGION IV-A (CALABARZON),60-64,566650.0
13,2023,REGION IV-A (CALABARZON),65-69,422630.0
13,2023,REGION IV-A (CALABARZON),70-74,275367.0
13,2023,REGION IV-A (CALABARZON),75-79,167575.0
13,2023,REGION IV-A (CALABARZON),80 and over,140315.0
14,2024,REGION IV-A (CALABARZON),0-4,1545478.0
14,2024,REGION IV-A (CALABARZON),10-14,1575324.0
14,2024,REGION IV-A (CALABARZON),15-19,1560344.0
14,2024,REGION IV-A (CALABARZON),20-24,1486674.0
14,2024,REGION IV-A (CALABARZON),25-29,1451813.0
14,2024,REGION IV-A (CALABARZON),30-34,1358622.0
14,2024,REGION IV-A (CALABARZON),35-39,1230797.0
14,2024,REGION IV-A (CALABARZON),40-44,1128960.0
14,2024,REGION IV-A (CALABARZON),45-49,1033273.0
14,2024,REGION IV-A (CALABARZON),5-9,1574421.0
14,2024,REGION IV-A (CALABARZON),50-54,870614.0
14,2024,REGION IV-A (CALABARZON),55-59,749800.0
14,2024,REGION IV-A (CALABARZON),60-64,588783.0
14,2024,REGION IV-A (CALABARZON),65-69,444060.0
14,2024,REGION IV-A (CALABARZON),70-74,292013.0
14,2024,REGION IV-A (CALABARZON),75-79,175930.0
14,2024,REGION IV-A (CALABARZON),80 and over,146685.0
15,2025,REGION IV-A (CALABARZON),0-4,1546665.0
15,2025,REGION IV-A (CALABARZON),10-14,1586330.0
15,2025,REGION IV-A (CALABARZON),15-19,1568918.0
15,2025,REGION IV-A (CALABARZON),20-24,1490854.0
15,2025,REGION IV-A (CALABARZON),25-29,1469744.0
15,2025,REGION IV-A (CALABARZON),30-34,1379570.0
15,2025,REGION IV-A (CALABARZON),35-39,1245795.0
15,2025,REGION IV-A (CALABARZON),40-44,1154581.0
15,2025,REGION IV-A (CALABARZON),45-49,1059663.0
15,2025,REGION IV-A (CALABARZON),5-9,1580759.0
15,2025,REGION IV-A (CALABARZON),50-54,895914.0
15,2025,REGION IV-A (CALABARZON),55-59,775991.0
15,2025,REGION IV-A (CALABARZON),60-64,610914.0
15,2025,REGION IV-A (CALABARZON),65-69,465632.0
15,2025,REGION IV-A (CALABARZON),70-74,308825.0
15,2025,REGION IV-A (CALABARZON),75-79,184334.0
15,2025,REGION IV-A (CALABARZON),80 and over,153080.0
16,2026,REGION IV-A (CALABARZON),0-4,1520652.0
16,2026,REGION IV-A (CALABARZON),10-14,1569124.0
16,2026,REGION IV-A (CALABARZON),15-19,1559314.4
16,2026,REGION IV-A (CALABARZON),20-24,1495743.2
16,2026,REGION IV-A (CALABARZON),25-29,1462475.2
16,2026,REGION IV-A (CALABARZON),30-34,1384556.0
16,2026,REGION IV-A (CALABARZON),35-39,1259936.0
16,2026,REGION IV-A (CALABARZON),40-44,1161324.8
16,2026,REGION IV-A (CALABARZON),45-49,1067450.4
16,2026,REGION IV-A (CALABARZON),5-9,1558047.2
16,2026,REGION IV-A (CALABARZON),50-54,916951.2
16,2026,REGION IV-A (CALABARZON),55-59,787372.8
16,2026,REGION IV-A (CALABARZON),60-64,629751.2
16,2026,REGION IV-A (CALABARZON),65-69,479385.6
16,2026,REGION IV-A (CALABARZON),70-74,324140.0
16,2026,REGION IV-A (CALABARZON),75-79,194867.2
16,2026,REGION IV-A (CALABARZON),80 and over,162984.0
17,2027,REGION IV-A (CALABARZON),0-4,1494639.0
17,2027,REGION IV-A (CALABARZON),10-14,1551918.0
17,2027,REGION IV-A (CALABARZON),15-19,1549710.8
17,2027,REGION IV-A (CALABARZON),20-24,1500632.4
17,2027,REGION IV-A (CALABARZON),25-29,1455206.4
17,2027,REGION IV-A (CALABARZON),30-34,1389542.0
17,2027,REGION IV-A (CALABARZON),35-39,1274077.0
17,2027,REGION IV-A (CALABARZON),40-44,1168068.6
17,2027,REGION IV-A (CALABARZON),45-49,1075237.8
17,2027,REGION IV-A (CALABARZON),5-9,1535335.4
17,2027,REGION IV-A (CALABARZON),50-54,937988.4
17,2027,REGION IV-A (CALABARZON),55-59,798754.6
17,2027,REGION IV-A (CALABARZON),60-64,648588.4
17,2027,REGION IV-A (CALABARZON),65-69,493139.2
17,2027,REGION IV-A (CALABARZON),70-74,339455.0
17,2027,REGION IV-A (CALABARZON),75-79,205400.4
17,2027,REGION IV-A (CALABARZON),80 and over,172888.0
18,2028,REGION IV-A (CALABARZON),0-4,1468626.0
18,2028,REGION IV-A (CALABARZON),10-14,1534712.0
18,2028,REGION IV-A (CALABARZON),15-19,1540107.2
18,2028,REGION IV-A (CALABARZON),20-24,1505521.6
18,2028,REGION IV-A (CALABARZON),25-29,1447937.6
18,2028,REGION IV-A (CALABARZON),30-34,1394528.0
18,2028,REGION IV-A (CALABARZON),35-39,1288218.0
18,2028,REGION IV-A (CALABARZON),40-44,1174812.4
18,2028,REGION IV-A (CALABARZON),45-49,1083025.2
18,2028,REGION IV-A (CALABARZON),5-9,1512623.6
18,2028,REGION IV-A (CALABARZON),50-54,959025.6
18,2028,REGION IV-A (CALABARZON),55-59,810136.4
18,2028,REGION IV-A (CALABARZON),60-64,667425.6
18,2028,REGION IV-A (CALABARZON),65-69,506892.8
18,2028,REGION IV-A (CALABARZON),70-74,354770.0
18,2028,REGION IV-A (CALABARZON),75-79,215933.6
18,2028,REGION IV-A (CALABARZON),80 and over,182792.0
19,2029,REGION IV-A (CALABARZON),0-4,1442613.0
19,2029,REGION IV-A (CALABARZON),10-14,1517506.0
19,2029,REGION IV-A (CALABARZON),15-19,1530503.6
19,2029,REGION IV-A (CALABARZON),20-24,1510410.8
19,2029,REGION IV-A (CALABARZON),25-29,1440668.8
19,2029,REGION IV-A (CALABARZON),30-34,1399514.0
19,2029,REGION IV-A (CALABARZON),35-39,1302359.0
19,2029,REGION IV-A (CALABARZON),40-44,1181556.2
19,2029,REGION IV-A (CALABARZON),45-49,1090812.6
19,2029,REGION IV-A (CALABARZON),5-9,1489911.8
19,2029,REGION IV-A (CALABARZON),50-54,980062.8
19,2029,REGION IV-A (CALABARZON),55-59,821518.2
19,2029,REGION IV-A (CALABARZON),60-64,686262.8
19,2029,REGION IV-A (CALABARZON),65-69,520646.4
19,2029,REGION IV-A (CALABARZON),70-74,370085.0
19,2029,REGION IV-A (CALABARZON),75-79,226466.8
19,2029,REGION IV-A (CALABARZON),80 and over,192696.0
20,2030,REGION IV-A (CALABARZON),0-4,1416600.0
20,2030,REGION IV-A (CALABARZON),10-14,1500300.0
20,2030,REGION IV-A (CALABARZON),15-19,1520900.0
20,2030,REGION IV-A (CALABARZON),20-24,1515300.0
20,2030,REGION IV-A (CALABARZON),25-29,1433400.0
20,2030,REGION IV-A (CALABARZON),30-34,1404500.0
20,2030,REGION IV-A (CALABARZON),35-39,1316500.0
20,2030,REGION IV-A (CALABARZON),40-44,1188300.0
20,2030,REGION IV-A (CALABARZON),45-49,1098600.0
20,2030,REGION IV-A (CALABARZON),5-9,1467200.0
20,2030,REGION IV-A (CALABARZON),50-54,1001100.0
20,2030,REGION IV-A (CALABARZON),55-59,832900.0
20,2030,REGION IV-A (CALABARZON),60-64,705100.0
20,2030,REGION IV-A (CALABARZON),65-69,534400.0
20,2030,REGION IV-A (CALABARZON),70-74,385400.0
20,2030,REGION IV-A (CALABARZON),75-79,237000.0
20,2030,REGION IV-A (CALABARZON),80 and over,202600.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),0-4,440600.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),10-14,406900.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),20-24,304100.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),25-29,251900.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),30-34,228700.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),35-39,212800.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),40-44,193000.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),45-49,166500.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),5-9,408200.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),50-54,137100.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),55-59,104500.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),60-64,75600.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),65-69,52900.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),70-74,39400.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),75-79,23100.0
0,2010,REGION IX (ZAMBOANGA PENINSULA),80 and over,19800.0
1,2011,REGION IX (ZAMBOANGA PENINSULA),0-4,438213.8
1,2011,REGION IX (ZAMBOANGA PENINSULA),10-14,406983.8
1,2011,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
1,2011,REGION IX (ZAMBOANGA PENINSULA),20-24,311106.6
1,2011,REGION IX (ZAMBOANGA PENINSULA),25-29,257012.2
1,2011,REGION IX (ZAMBOANGA PENINSULA),30-34,229912.2
1,2011,REGION IX (ZAMBOANGA PENINSULA),35-39,214113.4
1,2011,REGION IX (ZAMBOANGA PENINSULA),40-44,194041.4
1,2011,REGION IX (ZAMBOANGA PENINSULA),45-49,169090.0
1,2011,REGION IX (ZAMBOANGA PENINSULA),5-9,411861.8
1,2011,REGION IX (ZAMBOANGA PENINSULA),50-54,140280.8
1,2011,REGION IX (ZAMBOANGA PENINSULA),55-59,107919.2
1,2011,REGION IX (ZAMBOANGA PENINSULA),60-64,79377.4
1,2011,REGION IX (ZAMBOANGA PENINSULA),65-69,55001.6
1,2011,REGION IX (ZAMBOANGA PENINSULA),70-74,39990.6
1,2011,REGION IX (ZAMBOANGA PENINSULA),75-79,24135.2
1,2011,REGION IX (ZAMBOANGA PENINSULA),80 and over,20986.0
2,2012,REGION IX (ZAMBOANGA PENINSULA),0-4,435827.6
2,2012,REGION IX (ZAMBOANGA PENINSULA),10-14,407067.6
2,2012,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
2,2012,REGION IX (ZAMBOANGA PENINSULA),20-24,318113.2
2,2012,REGION IX (ZAMBOANGA PENINSULA),25-29,262124.4
2,2012,REGION IX (ZAMBOANGA PENINSULA),30-34,231124.4
2,2012,REGION IX (ZAMBOANGA PENINSULA),35-39,215426.8
2,2012,REGION IX (ZAMBOANGA PENINSULA),40-44,195082.8
2,2012,REGION IX (ZAMBOANGA PENINSULA),45-49,171680.0
2,2012,REGION IX (ZAMBOANGA PENINSULA),5-9,415523.6
2,2012,REGION IX (ZAMBOANGA PENINSULA),50-54,143461.6
2,2012,REGION IX (ZAMBOANGA PENINSULA),55-59,111338.4
2,2012,REGION IX (ZAMBOANGA PENINSULA),60-64,83154.8
2,2012,REGION IX (ZAMBOANGA PENINSULA),65-69,57103.2
2,2012,REGION IX (ZAMBOANGA PENINSULA),70-74,40581.2
2,2012,REGION IX (ZAMBOANGA PENINSULA),75-79,25170.4
2,2012,REGION IX (ZAMBOANGA PENINSULA),80 and over,22172.0
3,2013,REGION IX (ZAMBOANGA PENINSULA),0-4,433441.4
3,2013,REGION IX (ZAMBOANGA PENINSULA),10-14,407151.4
3,2013,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
3,2013,REGION IX (ZAMBOANGA PENINSULA),20-24,325119.8
3,2013,REGION IX (ZAMBOANGA PENINSULA),25-29,267236.6
3,2013,REGION IX (ZAMBOANGA PENINSULA),30-34,232336.6
3,2013,REGION IX (ZAMBOANGA PENINSULA),35-39,216740.2
3,2013,REGION IX (ZAMBOANGA PENINSULA),40-44,196124.2
3,2013,REGION IX (ZAMBOANGA PENINSULA),45-49,174270.0
3,2013,REGION IX (ZAMBOANGA PENINSULA),5-9,419185.4
3,2013,REGION IX (ZAMBOANGA PENINSULA),50-54,146642.4
3,2013,REGION IX (ZAMBOANGA PENINSULA),55-59,114757.6
3,2013,REGION IX (ZAMBOANGA PENINSULA),60-64,86932.2
3,2013,REGION IX (ZAMBOANGA PENINSULA),65-69,59204.8
3,2013,REGION IX (ZAMBOANGA PENINSULA),70-74,41171.8
3,2013,REGION IX (ZAMBOANGA PENINSULA),75-79,26205.6
3,2013,REGION IX (ZAMBOANGA PENINSULA),80 and over,23358.0
4,2014,REGION IX (ZAMBOANGA PENINSULA),0-4,431055.2
4,2014,REGION IX (ZAMBOANGA PENINSULA),10-14,407235.2
4,2014,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
4,2014,REGION IX (ZAMBOANGA PENINSULA),20-24,332126.4
4,2014,REGION IX (ZAMBOANGA PENINSULA),25-29,272348.8
4,2014,REGION IX (ZAMBOANGA PENINSULA),30-34,233548.8
4,2014,REGION IX (ZAMBOANGA PENINSULA),35-39,218053.6
4,2014,REGION IX (ZAMBOANGA PENINSULA),40-44,197165.6
4,2014,REGION IX (ZAMBOANGA PENINSULA),45-49,176860.0
4,2014,REGION IX (ZAMBOANGA PENINSULA),5-9,422847.2
4,2014,REGION IX (ZAMBOANGA PENINSULA),50-54,149823.2
4,2014,REGION IX (ZAMBOANGA PENINSULA),55-59,118176.8
4,2014,REGION IX (ZAMBOANGA PENINSULA),60-64,90709.6
4,2014,REGION IX (ZAMBOANGA PENINSULA),65-69,61306.4
4,2014,REGION IX (ZAMBOANGA PENINSULA),70-74,41762.4
4,2014,REGION IX (ZAMBOANGA PENINSULA),75-79,27240.8
4,2014,REGION IX (ZAMBOANGA PENINSULA),80 and over,24544.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),0-4,428669.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),10-14,407319.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),15-19,386100.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),20-24,339133.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),25-29,277461.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),30-34,234761.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),35-39,219367.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),40-44,198207.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),45-49,179450.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),5-9,426509.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),50-54,153004.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),55-59,121596.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),60-64,94487.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),65-69,63408.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),70-74,42353.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),75-79,28276.0
5,2015,REGION IX (ZAMBOANGA PENINSULA),80 and over,25730.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),0-4,427379.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),10-14,405287.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),15-19,386466.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),20-24,340829.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),25-29,284317.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),30-34,243732.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),35-39,223209.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),40-44,199810.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),45-49,180802.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),5-9,424496.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),50-54,155287.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),55-59,124822.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),60-64,97636.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),65-69,66555.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),70-74,44450.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),75-79,29181.0
6,2016,REGION IX (ZAMBOANGA PENINSULA),80 and over,26070.0
7,2017,REGION IX (ZAMBOANGA PENINSULA),0-4,425814.0
7,2017,REGION IX (ZAMBOANGA PENINSULA),10-14,402971.0
7,2017,REGION IX (ZAMBOANGA PENINSULA),15-19,386606.0
7,2017,REGION IX (ZAMBOANGA PENINSULA),20-24,342358.0
