Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
IX - Zamboanga,2016,1984457.0,528049.0,423019.0,336089.0,222458.0,166256.0,0.0,83.0,251.0,221.0,188.0,141.0,0.0,0.0001571823826955453,0.0005933539628243649,0.0006575639190809577,0.000845103345350583,0.0008480896930035608
IX - Zamboanga,2017,1979943.0,543835.0,428309.0,339570.0,228797.0,172737.0,0.0,83.0,252.0,218.0,187.0,141.0,0.0,0.00015261982034992232,0.0005883602726069263,0.0006419883970904379,0.0008173184088952215,0.0008162698205943139
IX - Zamboanga,2018,1974212.0,559618.0,433465.0,342915.0,235111.0,179229.0,0.0,78.0,137.0,119.0,112.0,102.0,0.0,0.00013938079189732997,0.00031605781320291144,0.000347024772902906,0.00047637073552492227,0.0005691043302144184
IX - Zamboanga,2019,1967287.0,575371.0,438483.0,346120.0,241396.0,185730.0,0.0,64.0,139.0,123.0,110.0,112.0,0.0,0.00011123257863187405,0.0003170020274446216,0.0003553680804345314,0.00045568277850502906,0.000603025897808647
IX - Zamboanga,2020,1959171.0,591129.0,443370.0,349194.0,247657.0,192240.0,0.0,55.0,146.0,119.0,110.0,118.0,0.0,9.304229702822903e-05,0.00032929607325709904,0.0003407847786617181,0.00044416269275651405,0.0006138160632542655
MIMAROPA,2010,1575900.0,380000.0,318400.0,240800.0,147100.0,118100.0,0.0,1.0,50.0,120.0,124.0,44.0,0.0,2.631578947368421e-06,0.000157035175879397,0.0004983388704318936,0.0008429639700883753,0.0003725656223539373
MIMAROPA,2011,1583316.6,386999.19999999995,323630.8,246364.8,153327.59999999998,122499.2,0.0,1.0,50.0,120.0,124.0,44.0,0.0,2.583984669735752e-06,0.0001544970379827878,0.00048708257023730666,0.0008087258914898558,0.00035918601917400277
MIMAROPA,2012,1590733.2000000002,393998.4,328861.6,251929.6,159555.2,126898.4,0.0,1.0,50.0,120.0,123.0,47.0,0.0,2.5380813729192807e-06,0.0001520396422081508,0.00047632354435524845,0.0007708930827701008,0.00037037504018963205
MIMAROPA,2013,1598149.7999999998,400997.6,334092.4,257494.4,165782.8,131297.6,0.0,1.0,50.0,120.0,122.0,47.0,0.0,2.493780511404557e-06,0.0001496591960786896,0.0004660295524873551,0.0007359026388744792,0.00035796541597104593
MIMAROPA,2014,1605566.4,407996.80000000005,339323.2,263059.2,172010.40000000002,135696.8,0.0,11.0,54.0,120.0,125.0,45.0,0.0,2.696099577251586e-05,0.00015914031224508078,0.0004561710824027443,0.0007267002460316352,0.0003316216742030763
