,year,NCR,CAR,I - Ilocos,II - Cagayan,III - C. Luzon,IVA - Calabarzon,MIMAROPA,V - Bicol,VI - W. Visayas,VII - C. Visayas,VIII - E. Visayas,IX - Zamboanga,X - N. Mindanao,XI - Davao,XII - SOCCSKSARGEN,XIII - Caraga,BARMM
10,2020,73.3181280031217,71.34532248832141,73.81668304737528,71.94002518185764,73.13053482106436,73.15109395167607,71.86648762553995,71.25421247663562,72.24085256001979,72.56910353903884,70.63010070564388,70.59719373301277,70.94086262402973,70.95386083195403,71.3240517565701,70.03990590521853,64.8368716408032
11,2021,73.5181280031217,71.58532248832142,74.01668304737527,72.18002518185763,73.35074724127351,73.35109395167609,72.10648762553993,71.49421247663561,72.46117169924044,72.76910353903884,70.87010070564386,70.83719373301278,71.18086262402973,71.19386083195403,71.5640517565701,70.31074808198244,65.26696600924706
12,2022,73.7181280031217,71.82532248832142,74.21668304737528,72.42002518185762,73.57095966148268,73.55109395167608,72.34648762553994,71.7342124766356,72.6814908384611,72.96910353903884,71.11010070564387,71.07719373301276,71.42086262402972,71.43386083195404,71.80405175657012,70.58159025874633,65.69706037769092
13,2023,73.9181280031217,72.06532248832141,74.41668304737527,72.66002518185763,73.79117208169183,73.75109395167608,72.58648762553995,71.97421247663561,72.90180997768175,73.16910353903883,71.35010070564388,71.31719373301277,71.66086262402973,71.67386083195403,72.0440517565701,70.85243243551025,66.12715474613476
14,2024,74.1181280031217,72.30532248832142,74.61668304737526,72.90002518185764,74.01138450190098,73.95109395167609,72.82648762553994,72.21421247663562,73.12212911690239,73.36910353903883,71.59010070564388,71.55719373301278,71.90086262402974,71.91386083195403,72.28405175657011,71.12327461227414,66.55724911457862
15,2025,74.3181280031217,72.54532248832142,74.81668304737528,73.14002518185762,74.23159692211014,74.15109395167609,73.06648762553993,72.4542124766356,73.34244825612305,73.56910353903884,71.83010070564387,71.79719373301278,72.14086262402972,72.15386083195403,72.52405175657012,71.39411678903804,66.98734348302247
16,2026,74.49789480432585,72.74532248832142,74.99686722267688,73.34002518185764,74.43159692211015,74.35109395167609,73.26648762553994,72.6738447053636,73.54244825612305,73.76910353903884,72.07010070564388,72.03719373301277,72.38086262402973,72.39386083195402,72.7240517565701,71.63411678903805,67.33750076376225
17,2027,74.67766160553,72.94532248832142,75.17705139797852,73.54002518185763,74.63159692211015,74.5510939516761,73.46648762553994,72.89347693409161,73.74244825612305,73.96910353903884,72.31010070564388,72.27719373301278,72.62086262402974,72.63386083195402,72.92405175657011,71.87411678903806,67.687658044502
18,2028,74.85742840673414,73.14532248832141,75.35723557328015,73.74002518185762,74.83159692211014,74.75109395167607,73.66648762553993,73.1131091628196,73.94244825612304,74.16910353903883,72.55010070564387,72.51719373301276,72.86086262402972,72.87386083195403,73.12405175657011,72.11411678903805,68.03781532524178
19,2029,75.0371952079383,73.34532248832141,75.53741974858177,73.94002518185764,75.03159692211014,74.95109395167609,73.86648762553995,73.3327413915476,74.14244825612305,74.36910353903883,72.79010070564388,72.75719373301277,73.10086262402974,73.11386083195404,73.3240517565701,72.35411678903806,68.38797260598153
20,2030,75.21696200914243,73.54532248832142,75.71760392388339,74.14002518185762,75.23159692211014,75.15109395167607,74.06648762553993,73.5523736202756,74.34244825612305,74.56910353903884,73.03010070564387,72.99719373301278,73.34086262402974,73.35386083195402,73.5240517565701,72.59411678903805,68.7381298867213
